出埃及記
第一章
 	以色列人在埃及興盛
17	要把公綿羊切成一塊塊，洗淨牠的內臟和腿，放在肉塊和羊頭上面。
18	要把整隻公綿羊在祭壇上焚化為煙；這是獻給耶和華的燔祭，有可喜悅的馨香，是獻給耶和華的禮物。
19	“你要把第二隻公綿羊取來，亞倫和他的兒子們要把手按在公綿羊頭上。
20	你要宰殺這隻公綿羊，取些羊血，塗在亞倫的右耳垂和他兒子們的右耳垂，又塗在他們右手大拇指和右腳大拇趾上；然後把其餘的血潑在祭壇四壁上。
21	要拿一些祭壇上的血和一些膏抹油，彈在亞倫和他的衣服上，以及他的兒子們和他們的衣服上；這樣，他和他的衣服、他眾兒子和他們的衣服就都分別為聖。
22	要從這隻公綿羊身上取出硬脂肪——肥尾巴、蓋著內臟的硬脂肪、肝的尾狀葉、兩個腎和其上的硬脂肪，以及右後腿，因為這是聖職祭的公綿羊。
23	要從耶和華面前的那個無酵餅籃子裡，取一個餅、一個油餅、一個薄餅。
24	要把這一切都擺在亞倫的手掌上和他兒子們的手掌上，在耶和華面前舉起，作舉獻物。
25	然後你要從他們手裡把這些接過來，在祭壇的燔祭牲上焚化為煙，有可喜悅的馨香在耶和華面前，是獻給耶和華的禮物。
 	聖職祭其餘的規定
（利8:29~36）
26	“你要取亞倫聖職祭公綿羊的胸，在耶和華面前舉起，作舉獻物；這是歸給你的份額。
27	要把作舉獻物的胸和作奉獻物的後腿分別為聖，就是聖職祭公綿羊身上被舉起過和奉獻過的部分，屬於亞倫和他的兒子們。
28	這是賜給亞倫和他子孫的，作他們從以色列人永遠應得的分，因為這是奉獻物；這是應該從以色列人的平安祭裡取出來的奉獻物，是他們獻給耶和華的奉獻物。
29	“亞倫的聖衣要傳給他的子孫，他們要穿著受膏，也要穿著承受聖職。
30	亞倫的子孫之中，凡是接替他做大祭司，要進入會幕，在聖所服侍的，都要穿這些聖衣七天。
31	“你要把聖職祭公綿羊取來，在聖潔的地方煮牠的肉。
32	亞倫和他的兒子們要在會幕門口吃這隻公綿羊的肉和那個籃子裡的餅。
33	他們要吃這些用來贖罪的東西，為要使他們承受聖職，使他們分別為聖。祭司家以外的人不可吃，因為這些是聖物。
34	聖職祭的肉和餅，如果有些剩下到早晨，你就要把剩下的用火燒掉，不可以吃，因為這是聖物。
35	“你要對亞倫和他的兒子們這樣做，照我吩咐你的這一切，要用七天使他們承受聖職。
36	你要每天獻一頭公牛作贖罪祭，用來贖罪；你要用贖罪祭潔淨祭壇，來為它除污。你要膏抹祭壇，使它分別為聖。
37	你要用七天潔淨祭壇，使它分別為聖。這樣，祭壇就成為至聖，一切接觸過這個祭壇的都會分別為聖。
 	恆常要獻的燔祭
（民28:1~8）
38	“以下是你要在這個祭壇上獻的：一歲的公綿羊羔每天兩隻，要恆常獻上。
39	一隻綿羊羔你要在早晨獻，第二隻綿羊羔你要在黃昏的時候獻。
40	十分之一伊法上等粗粒小麥粉作素祭，要與四分之一欣榨成的油調勻，還要用四分之一欣的葡萄酒作澆獻，和一隻綿羊羔一同獻上。
41	黃昏的時候，你要獻另一隻綿羊羔，要像早晨那樣同獻素祭和澆酒祭，作為耶和華喜悅的馨香禮物。
42	這是你們世世代代恆常要獻的燔祭，要獻在會幕門口，在耶和華面前，就是我要和你們相會，向你說話的地方。
43	我要在那裡和以色列人相會，那地方要因為我的榮耀變得聖潔。
44	我要使會幕和祭壇變得聖潔，也要使亞倫和他的兒子們變得聖潔，做我的祭司。
45	我會住在以色列人當中，做他們的神。
46	他們將知道我是耶和華他們的神，就是曾把他們從埃及地領出來的那一位，為要住在他們當中。我是耶和華他們的神。”
第三十章
 	香壇的造法
（出37:25~28）
1	“你要造一座燒香的壇，要用金合歡木造，
2	長一肘，寬一肘，成正方形；高二肘。壇的四個翹角要連於壇。
3	你要給壇包上純金，包括壇的上面、壇的四個側面和四個翹角，並且在壇四圍造金邊；
4	又要為它造兩個金環，安在壇兩邊的金邊之下，在壇的兩側，用來穿槓子抬壇。
5	要用金合歡木造了兩根槓子，包上金。
6	你要把壇放在法櫃前面的幔帳前，面對著法櫃上的施恩座，就是我要和你相會的地方。
7	亞倫要在壇上燒芬芳的香，每天早晨整理那些燈的時候，都要燒這香。
8	黃昏亞倫放那些燈盞上燈台的時候，也要燒這香。這是你們世世代代在耶和華面前恆常要燒的香。
9	在這座壇上，你們不可獻違規的香，不可獻燔祭或素祭，也不可獻澆酒祭。
10	亞倫每年一次要潔淨壇的翹角，你們世世代代都要每年一次用贖罪祭牲的血潔淨它。這座壇是歸耶和華為至聖的。”
 	統計人數時要付的贖銀
11	耶和華吩咐摩西說：
12	“當你數以色列人來統計他們的總數時，他們每個人要為自己的性命付贖價給耶和華，在數他們的時候付。這樣就不會有災殃在數他們的時候發生。
13	以下是他們要付的：每個被數的人要付半舍客勒，以聖所的舍客勒為準，一舍客勒是二十季拉；這半舍客勒是給耶和華的奉獻物。
14	凡被數的人，就是二十歲及以上的男子，都要把奉獻物給耶和華。
15	富有的人不可多出，貧窮的人也不可少出，都是半舍客勒，作奉獻物給耶和華，為了贖你們的性命。
16	你要從以色列人收取這筆贖銀，用於會幕的工程。這要成為提醒以色列人的紀念物，在耶和華面前，贖你們的性命。”
 	洗濯用的銅盆
（出38:8）
17	耶和華吩咐摩西說：
18	“你要造一個供洗濯用的銅盆和盆的銅座。你要把這個盆放在會幕和祭壇之間，並且在盆裡盛上水。
19	亞倫和他的兒子們要用這水洗手洗腳。
20	他們進入會幕的時候，或者上前到祭壇那裡服侍，要把禮物焚化為煙獻給耶和華之前，都要用水洗濯，免得他們死亡。
21	他們要洗手洗腳，免得他們死亡。這要成為亞倫和他世世代代的後裔永遠的規定。”
 	聖膏抹油的造法
22	耶和華吩咐摩西說：
23	“你要親自取上等香料，就是優質沒藥五百舍客勒，香肉桂是它的一半，二百五十舍客勒，香菖蒲二百五十舍客勒，
24	簡桂五百舍客勒，以聖所的舍客勒為準；還要橄欖油一欣。
25	你要用這些配製聖膏抹油，是用配製香物的方法製成的香膏。這要成為聖膏抹油。
26	你要用它來膏抹會幕和法櫃、
27	桌子和桌子的一切器物、燈台和燈台的器物、香壇、
28	燔祭壇和燔祭壇的一切器物、洗濯盆和盆座。
29	你要使這些分別為聖，這些要成為至聖。一切接觸過這些的都會分別為聖潔。
30	你也要膏立亞倫和他的兒子們，使他們分別為聖，做我的祭司。
31	你要對以色列人說：‘你們世世代代都要以這油為我的聖膏抹油，
32	不可澆在普通人身上，也不可照這配方另外配製香膏。這香膏是神聖的，你們要看它為神聖的。
33	任何人如果自行調製這樣的香膏，或者把它抹在祭司家以外的人身上，就要從人民中剪除。’”
 	聖香的造法
34	耶和華對摩西說：“你要取芬芳的香料，就是蘇合香、螺香、香阿魏；這些芬芳的香料和純淨的乳香，分量要相等。
35	你要用這些做香，用製香的方法調製，加上鹽，是潔淨、神聖的。
36	你要把一部分的香搗碎，放一些在會幕裡的法櫃前，就是在我和你相會的地方。你們要看這香為至聖的。
37	你按這配方做的香，你們不可為自己配製；你要看這香為神聖的，屬於耶和華。
38	任何人如果為了要聞它的香味而自己做這樣的香，就要從人民中剪除。”
第三十一章
 	製造會幕器具之技工
（出35:30~36:1）
1	耶和華吩咐摩西說：
2	“你看，我指名選召了比撒列，他是戶珥的孫子，烏利的兒子，屬於猶大支派。
3	我已經用神的靈充滿他，使他有智慧，有聰明，有知識，有各樣的工藝，
4	精於設計，能用金、銀、銅來製造，
5	能雕刻寶石用來鑲嵌，也能雕刻木頭用於任何工藝。
6	看哪，我已經委任但支派亞希沙麥的兒子亞何利亞伯與他合作。凡是心裡有智慧的，我已經賜智慧在他們心裡，使他們能造我吩咐你的一切，
7	就是造會幕、法櫃和其上的施恩座、會幕的一切器物、
8	桌子和桌子的器物、純金燈台和燈台的一切器物、香壇、
9	燔祭壇和燔祭壇的一切器物、洗濯盆和盆座、
10	祭司服侍時穿的衣服（就是亞倫祭司的聖衣和他兒子們的衣服）、
11	膏抹油和聖所用的芬芳的香。他們要照著我所吩咐你的一切去做。”
 	守安息日
（出35:1~3）
12	耶和華對摩西說：
13	“你要對以色列人說：留意，你們要守我的安息日，因為這是我和你們之間立約的記號，直到世世代代，讓人知道我是使你們分別為聖的耶和華。
14	你們要守安息日，因為這日是你們的聖日。褻瀆這日的人，必須處死。任何人在這日工作，都要從人民中間剪除。
15	六天可以工作，但第七天是完全安息的安息日，歸耶和華為聖。凡在安息日工作的人，都必須處死。
16	以色列人世世代代要守安息日，實踐安息日，作為永遠的約。
17	這是我和以色列人之間立約的記號，直到永遠，因為耶和華用六天造天和地，在第七天歇工、休息。”
 	摩西領受兩塊法版
（申9:9~11）
18	耶和華在西奈山和摩西說完了話，就交給他兩塊法版，是神用手指寫上字的石版。
第三十二章
 	包金牛像
1	人民見摩西遲遲不下山，就衝著亞倫聚集，對他說：“起來，給我們造一些可以走在我們前頭的神明。因為把我們從埃及地領上來的這個人摩西，我們不知道他出了甚麼事！”
2	亞倫對他們說：“把你們妻子、兒子、女兒耳朵上的金環摘下來，拿來給我。”
3	眾人民就把他們耳朵上的金環摘下，拿來給亞倫。
4	亞倫從他們手裡接過，用雕刻工具雕刻，造成一頭包金牛像。他們就說：“以色列啊，這就是你的那些神明，曾把你從埃及地領上來！”
5	亞倫看見了，就在牛像面前築了一座祭壇。亞倫宣告說：“明天是耶和華的節日！”
6	次日，他們清早起來，獻上一些燔祭，又帶一些平安祭來；然後人民坐下吃喝，起來玩樂。
 	摩西向耶和華求情
（申9:12~14）
7	耶和華吩咐摩西說：“去，下去！你從埃及地領上來的人民已經做了敗壞的事！
8	他們很快就偏離了我吩咐他們走的道路，造了一頭包金牛像，向它下拜，向它宰獻祭牲，說：‘以色列啊，這就是你的那些神明，他們曾把你從埃及地領上來！’”
9	耶和華對摩西說：“我看透了這人民，真是頸項剛硬的人！
10	現在你由著我吧，我要對他們動烈怒，滅絕他們，然後我要使你成為大國。”
11	摩西就懇求耶和華他的神施恩，說：“耶和華啊，為甚麼要對你的人民動烈怒呢？這人民是你用偉大的能力，用強勁的手從埃及地領出來的！
12	為甚麼讓埃及人說‘他領他們出來是出於惡意的，要在山中殺死他們，從地上消滅他們’？求你收回烈怒，求你回心轉意，不降禍給你的人民！
13	求你顧念你的僕人亞伯拉罕、以撒、以色列，你曾經指著自己向他們起誓，對他們說：‘我要增多你們的後裔，像天上的繁星；而我應許過的這整片土地，我要賜給你們的後裔，他們要繼承為產業，直到永遠。’”
14	於是，耶和華回心轉意，沒有把他所說的災禍降在他的人民身上。
 	摩西發怒摔碎法版
（申9:15~21）
15	摩西轉身，從山上下來，手裡拿著兩塊法版；版兩面都寫了字——這面和那面都寫了字。
16	兩塊版是神的作品，字是神寫的，刻在版上。
17	約書亞聽見人民的呼喊聲，就對摩西說：“營裡有打仗的聲音！”
18	摩西說：“這不是戰勝的呼聲，也不是戰敗的呼聲，我聽見的是歌聲！”
19	摩西走近營地，看見那頭牛，又看見有人跳舞，摩西就動烈怒，把那兩塊版從手裡摔下去，摔碎在山下。
20	他拿了他們所做的牛，用火燒毀，磨成粉末，撒在水面上，叫以色列人喝。
21	摩西對亞倫說：“這人民對你做了甚麼，以致你給他們帶來這宗大罪？”
22	亞倫說：“求我主不要發烈怒！你知道這人民在罪惡裡。
23	他們對我說：‘給我們做一些可以走在我們前頭的神明。因為把我們從埃及地領上來的這個人摩西，我們不知道他出了甚麼事！’
24	我對他們說：‘凡是有金子的，都要摘下來’，他們就給了我；我把金子丟進火裡，這頭牛就出來了。”
 	懲罰拜包金牛像的人
25	摩西看見這人民很放肆，因為亞倫放縱他們，成為敵人的笑柄，
26	摩西就站在營門，說：“凡是屬於耶和華的，都到我這裡來！”於是，利未的所有子孫都聚集到他那裡。
27	摩西對他們說：“耶和華以色列的神這樣說：‘你們人人都要佩刀，在營裡來回，從一邊的門走到另一邊的門，人人都要殺掉自己的兄弟、朋友、親人！’”
28	利未的子孫就照著摩西的話做。那一天，人民裡倒斃的約有三千人。
29	摩西說：“今天你們得到聖職歸耶和華，因為你們人人都與兒子和兄弟作對，使耶和華今天賜福給你們。”
 	摩西代禱
（申9:25~29）
30	第二天，摩西對人民說：“你們犯了大罪，現在我要上耶和華那裡去，說不定我可以為你們贖罪。”
31	於是，摩西回到耶和華那裡，說：“唉，這人民犯了大罪，為自己做了金神像。
32	現在求你赦免他們的罪，不然，請把我從你所寫的名冊上抹掉吧！”
33	耶和華對摩西說：“誰犯罪干犯了我，我就把誰從我的名冊上抹掉。
34	現在你去吧，帶領這人民到我對你說過的地方去。看哪，我的使者會在你前面走；不過，在我追討的日子，我會追討他們的罪。”
35	耶和華擊打人民，因為他們造了那頭牛，就是亞倫造的那頭。
第三十三章
 	耶和華命令以色列人起程
1	耶和華對摩西說：“去，離開這裡上去！你和你從埃及地領上來的人民，要到我起誓要賜給亞伯拉罕、以撒、雅各的地去；我對他們說：‘我要把這片土地賜給你的後裔。’
2	我要差遣一位使者在你前面，我要趕走迦南人、亞摩利人、赫特人、比利洗人、希未人、耶布斯人，
3	你們要上去那片流奶流蜜之地。我不在你們中間一起上去，因為你們是頸項剛硬的人，免得我在路上滅絕你們。”
4	人民聽見這個壞消息，就很悲哀，人人都不穿戴飾物了。
5	耶和華對摩西說：“你要對以色列人說：‘你們是頸項剛硬的人，我若在你們中間一起上去，哪怕是一瞬間，也會滅絕你們！現在你們要摘下身上的飾物，讓我決定怎樣處置你們。’”
6	於是，以色列人從他們在何烈山的這時候開始，就不佩戴飾物。
 	臨時會幕
7	摩西就取那個帳幕，為自己搭在營外，遠離營地；摩西稱它為會幕。任何求問耶和華的人，都要出到營外的會幕那裡去。
8	每當摩西出外到那個帳幕去的時候，全體人民都起來，人人站在自己帳幕門口，望著摩西，直到他進了那個帳幕。
9	每當摩西進那個帳幕的時候，就有雲柱降下來，停駐在那個帳幕門口；耶和華就跟摩西談話。
10	全體人民看見雲柱停駐在那個帳幕門口，就都起來，人人在自己帳幕的門口下拜。
11	耶和華對摩西面對面說話，好像人對朋友說話一樣。每次摩西都回到營裡去，而他的助手，一個年輕人，就是努恩的兒子約書亞，則不離開那個帳幕。
 	摩西的祈求與耶和華的榮耀
12	摩西對耶和華說：“請看，你對我說‘領這人民上去吧’，可是你沒有讓我知道你會差遣誰來和我一起。你自己說過：‘我深切地認識你，而且你在我眼前蒙了恩。’
13	現在，如果我在你眼前蒙了恩，就求你讓我知道你的道路，使我可以認識你，繼續在你眼前蒙恩！還有，請看，這國是你的人民！”
14	耶和華說：“我會親自去，讓你安歇。”
15	摩西對他說：“你如果不親自去，就不要從這裡領我們上去。
16	那麼，有甚麼能讓人知道我，還有你的人民，都在你眼前蒙恩呢？不是因為你和我們同去，才使我和你的人民，從地上所有人之中區分出來嗎？”
17	耶和華對摩西說：“你說的這件事我也會做，因為你在我眼前蒙了恩，而且我深切地認識你。”
18	摩西說：“求你給我看你的榮耀！”
19	耶和華說：“我會使我的一切美善在你面前經過，並且會在你面前宣告耶和華這個名字；我要恩待誰，就恩待誰；要憐憫誰，就憐憫誰。”
20	他又說：“你無法看我的面，因為沒有人看見了我還能活著。”
21	耶和華說：“看哪，我這裡有個地方，你要站在這座石山上。
22	我的榮耀經過的時候，我會把你放在石山的縫隙裡，用手掌遮蓋你，直到我過去了；
23	然後，我會移開我的手掌，你就會看見我的背，而不會看見我的面。”
第三十四章
 	重做法版
（申10:1~5）
1	耶和華對摩西說：“你要鑿出兩塊和原先一樣的石版，我要把原先那兩塊被你摔碎的版上的字，重新寫到這兩塊版上。
2	早晨之前你要預備好；早晨上到西奈山來，在山頂那裡站著等我。
3	誰也不准同你一起上來，而且整座山都不准有人出現，也不准牛羊在這座山前面吃草。”
4	摩西就鑿出兩塊石版，和原先的一樣。摩西清早起來，按照耶和華所吩咐他的，登上西奈山，手裡拿著兩塊石版。
5	耶和華在雲中降下來，和摩西一起站在那裡，宣告耶和華的名字。
6	耶和華在他面前經過，宣告說：“耶和華，耶和華，是有憐憫、有恩典的神，不輕易發怒，有豐盛的忠誠之愛和信實，
7	為千代存留忠誠之愛，赦免罪責、過犯、罪惡；然而，他不會免去責罰，而會追討父親的罪責，懲罰他們的兒子、孫兒，第三代、第四代。”
8	摩西趕忙俯伏於地敬拜，
9	說：“主啊，我若在你眼前蒙恩，求主在我們中間一起去，因為這是頸項剛硬的人民！又求你赦免我們的罪責罪惡，以我們為你的產業！”
 	重新立約
（出23:14~29；申7:1~5，16:1~17）
10	耶和華說：“我即將立約。我要在你全體人民面前施展奇能，是在全地萬國中沒有出現過的！你在人民中間，全體人民都會看見耶和華的作為，因為我要為你做的是可畏的事。
11	我今天吩咐你的，你要遵守。我即將從你面前趕走亞摩利人、迦南人、赫特人、比利洗人、希未人、耶布斯人。
12	你要當心，不可與你要去的那地的居民立約，免得這事使你們陷入羅網。
13	他們的那些祭壇，你們要拆毀；那些神碑，要打碎；那些亞舍拉柱，要砍倒。
14	不可拜別的神，因為耶和華的名字是“痛恨不忠”，他是痛恨不忠的神。
15	恐怕你與那地的居民立約，他們像娼妓那樣跟從自己的諸神，給自己的諸神宰獻祭牲的時候，有人叫你，你就會吃他的祭物；
16	你又會給你的兒子娶他們的女兒為妻，他們的女兒像娼妓那樣跟從自己的諸神，使你的兒子也像娼妓那樣跟從她們的諸神。
17	你不可造包金銀的神像。
18	“你要守無酵節，要吃無酵餅七天，就是我吩咐過你的，在亞筆月指定的日期，因為你是在亞筆月從埃及出來的。
19	所有最先出母胎的都歸給我；你的牲畜裡，包括牛和羊，凡是最先出母胎的雄性，都歸給我。
20	最先出母胎的驢，你要用羊贖回；如果不贖，就要打斷牠的脖子。你兒子之中所有頭生的，你都要贖回。不可空著手來朝見我。
21	“六天你可以勞碌，但第七天你要安息；即使在耕種和收割期間，第七天也要安息。
22	在收割小麥首批收成的時候，你要慶祝七七節；過年的時候，你要慶祝收藏節。
23	一年三次，你所有男丁都要朝見主耶和華以色列的神。
24	因為我會從你面前剷除列族，擴張你的疆土，所以你一年三次上去朝見耶和華你神的時候，沒有人會貪圖你的土地。
25	“不可把我祭牲的血和有酵的食物一同獻上。逾越節的祭牲不可過夜留到早晨。
26	你土地裡首批收成之中最好的那些，你要帶到耶和華你神的聖所。不可用母山羊的奶煮牠的小羊。”
27	耶和華對摩西說：“你要把這些話寫下來，因為我與你、與以色列人立約，就是根據這些話。”
28	摩西在那裡與耶和華在一起四十晝夜，沒吃東西也沒喝水。他把這約的內容寫在那兩塊版上，就是那十誡。
 	摩西從山上下來
29	摩西從西奈山下來；下山的時候，摩西手裡拿著那兩塊法版。摩西不知道自己臉上的皮膚因為耶和華跟他說過話而發光。
30	亞倫和所有以色列人看見摩西，見他臉上的皮膚發光，就害怕走近他。
31	摩西叫他們，亞倫和會眾的所有領袖才回到摩西那裡去，摩西就和他們談話。
32	之後，全體以色列人走近，摩西把耶和華在西奈山上跟他所說的一切話都吩咐他們。
33	摩西和他們說完了話，就用帕子蒙面。
34	但是摩西甚麼時候進到耶和華面前和他說話，就揭下這帕子，出來時再蒙上。他出來，把耶和華吩咐他的事告訴以色列人。
35	以色列人看見摩西的面，見摩西的面皮發光，摩西就重新用帕子蒙面，進去和耶和華說話時才揭下。
第三十五章
 	安息日
（出31:12~17）
1	摩西召集以色列整個群體，對他們說：“以下是耶和華吩咐你們要做的事：
2	六天可以工作，但第七天你們要視為神聖，是完全安息的安息日，歸耶和華。凡在這日工作的人，都要處死。
3	在安息日，你們住在任何地方，都不可生火。”
 	建造會幕的技工
（出25:1~9，31:1~11，39:32~43）
4	摩西對以色列整個群體說：“耶和華這樣吩咐說：
5	‘你們要拿奉獻物來給耶和華！任何人心裡自願奉獻，就拿奉獻物給耶和華吧，就是金、銀、銅，
6	藍線、紫線、朱紅線、細麻線、山羊毛，
7	染紅了的公綿羊皮、海牛皮、金合歡木，
8	燈油、製作膏抹油和芬芳的香要用的種種香料，
9	瑪瑙石、用來鑲嵌在以弗得和胸袋上的寶石。
10	“‘你們中間凡是心裡有智慧的，都要來做耶和華吩咐的一切：
11	聖幕、鋪在聖幕上的帳幕、帳幕的蓋子、鈎子、豎板、橫板、柱子、柱座，
12	櫃子、櫃的槓子、施恩座、遮掩的幔帳，
13	桌子、桌子的槓子、桌子的一切器物、呈獻餅，
14	照明的燈台、燈台的器物、燈盞、燈油，
15	香壇、香壇的槓子、膏抹油、芬芳的香、聖幕門口的門簾，
16	燔祭壇、壇的銅網、壇的槓子、壇的一切器物、洗濯盆、盆座，
17	院子的幕牆、柱子、柱座、院子的門簾，
18	聖幕的釘子、院子的釘子，以及兩者的繩子，
19	祭司在聖所服侍時穿的衣服，就是亞倫祭司的聖衣和他兒子們的衣服。’”
20	以色列整個群體從摩西面前出去，
21	凡是受自己的心激勵、受自己的靈感動的人，都來了，帶奉獻物來給耶和華，用於會幕的工作和一切工程，以及聖衣。
22	凡是心裡自願奉獻的男男女女都來，帶來別針飾物、環子、戒指、金珠等各種金器，人人呈上黃金的舉獻物給耶和華。
23	凡是有藍線、紫線、朱紅線、細麻線、山羊毛、染紅了的公綿羊皮、海牛皮的，都帶來了。
24	凡是獻上銀和銅作奉獻物的，都帶來作為給耶和華的奉獻物。凡是有金合歡木可以用於工程上任何工作的，都帶來了。
25	凡是心裡有智慧的婦女都親手紡線，把所紡的藍線、紫線、朱紅線、細麻線帶來。
26	凡是受自己的心激勵又有智慧的婦女，都紡山羊毛線。
27	領袖們帶來瑪瑙石、用來鑲嵌在以弗得和胸袋上的寶石、
28	香料、燈油、膏抹油、芬芳的香。
29	凡是受自己的心感動的男女，願意帶東西來用於耶和華藉著摩西吩咐的一切工作的，這些以色列人都帶甘心獻的禮物給耶和華。
30	摩西對以色列人說：“你們看，耶和華指名選召了比撒列，他是戶珥的孫子，烏利的兒子，屬於猶大支派。
31	耶和華已經用神的靈充滿他，使他有智慧，有聰明，有知識，有各樣的工藝，
32	精於設計，能用金、銀、銅來製造，
33	能雕刻寶石用來鑲嵌，也能雕刻木頭用於任何工藝設計。
34	耶和華還把教導的能力放在他心裡，也放在但支派亞希沙麥的兒子亞何利亞伯心裡。
35	耶和華用智慧充滿他們的心，使他們能做各種工藝，就是雕刻，精工織布，用藍線、紫線、朱紅線、細麻線織多色布，還有織單色布。他們能做各種手藝，也精於設計。”
第三十六章
1	比撒列、亞何利亞伯，以及所有心裡有智慧的人，就照著耶和華所吩咐的一切去做；他們蒙耶和華賜智慧聰明在他們裡面，使他們知道怎樣做聖所工程的一切工作。
 	人民奉獻大量禮物
2	摩西召來比撒列、亞何利亞伯，以及所有心裡有智慧的人；他們蒙耶和華賜智慧在心裡，受自己的心激勵要來做這些工作。
3	他們在摩西面前接過以色列人為做聖所工程的工作而帶來的一切奉獻物。他們每天早晨繼續把甘心獻的禮物帶給他。
4	於是，做聖所一切工作的所有能工巧匠，個個都放下自己在做的工作，
5	來對摩西說：“人民帶來的東西太多，超過耶和華吩咐要做工程的需要！”
6	摩西就吩咐在營裡傳話說：“男男女女都不必再出力為聖所奉獻東西了！”人民這才被攔住，不再帶東西來。
7	工料已夠做整個工作，而且綽綽有餘。
 	造聖幕
（出26:1~14）
8	在做這個工作的人當中，那些心裡有智慧的人就用十幅長布來造聖幕，長布用搓成的細麻線、藍線、紫線、朱紅線編織，以精工造出基路伯圖案。
9	每幅長布長二十八肘，每幅長布寬四肘，所有長布的大小都一樣。
10	他把五幅長布一一連起來，把另外五幅長布也一一連起來。
11	在一組長布的最後一幅邊上，他造了一些藍線圈；在第二組長布的最後一幅邊上，他也這樣造。
12	在一幅長布上造了五十個線圈，在第二組長布的最後一幅邊上也造了五十個線圈，圈圈相對。
13	他也造了五十個金鈎，用這些鈎子把兩組長布連起來，成為一個聖幕。
14	他又用山羊毛造了一些長布，作為鋪在聖幕上的帳幕；他造了十一幅長布。
15	每幅長布長三十肘，每幅長布寬四肘，十一幅長布的大小都一樣。
16	他把其中五幅長布連起來為一組，把另外那六幅長布也連起來為一組。
17	在一組長布的最後一幅邊上，他造了五十個線圈；在第二組長布的最後一幅邊上，他也造了五十個線圈。
18	他造了五十個銅鈎，把帳幕連起來，成為一個。
19	又用染紅了的公綿羊皮為這個帳幕造一個蓋子，用海牛皮再造一個蓋子在上面。
 	造幕牆
（出26:15~30）
20	他用金合歡木造了聖幕的豎板。
21	每塊板長十肘，寬一肘半。
22	每塊板有兩個榫頭，兩個榫頭彼此平行；聖幕的所有豎板，他都這樣做。
23	他為聖幕造了豎板，朝南的一面造了二十塊。
24	在這二十塊板底下，造了四十個銀柱座；一塊板底下放兩個柱座，插那塊板的兩個榫頭，下一塊板底下也放兩個柱座，插那塊板的兩個榫頭。
25	聖幕的另一邊，就是北面，他也造了二十塊豎板，
26	以及四十個銀柱座。一塊板底下放兩個柱座，下一塊板底下也放兩個柱座。
27	聖幕的後面，就是西面，他造了六塊豎板。
28	他也給聖幕後面的角落造了兩塊豎板，
29	這樣就有雙重的豎板，由下方到頂部完全對齊，套進同一個箍。兩塊他都這樣給兩個角落造了。
30	共有八塊豎板和它們的銀柱座，共十六個柱座，一塊板底下有兩個柱座，下一塊板底下也有兩個柱座，每一塊板底下都有兩個柱座。
31	他又用金合歡木造了橫板，五塊橫板給聖幕一邊的豎板，
32	五塊橫板給聖幕第二邊的豎板，五塊橫板給聖幕後邊即西面的豎板。
33	他也在豎板的半腰造了一塊橫板，由一端穿到另一端。
34	他給豎板包上金，又在豎板上造了一些金環，用來穿橫板。他也給橫板包上金。
 	造幔帳、門簾和柱子
（出26:31~37）
35	他用藍線、紫線、朱紅線、搓成的細麻線造了幔帳，以精工造出基路伯圖案。
36	他為幔帳造了四根金合歡木柱，包上金，柱鈎是金的，又為柱子鑄造了四個銀柱座。
37	他用藍線、紫線、朱紅線、搓成的細麻線造了帳幕門口的門簾，用織彩色布的方法造；
38	又為門簾做了五根柱子和柱上的鈎子，把柱頂和柱子的環圈都包上了金；五個柱座都是銅的。
第三十七章
 	造法櫃
（出25:10~22）
1	比撒列用金合歡木造了那個櫃子，長兩肘半，寬一肘半，高一肘半。
2	他給櫃子內外都包上純金，並且在櫃子四圍造了金邊，
3	又為它鑄了四個金環，安在櫃的四腳，兩個環在一邊，兩個環在另一邊。
4	又用金合歡木造了兩根槓子，包上金，
5	然後把槓子穿進櫃兩邊的環裡，用來抬櫃。
6	又用純金造了一個施恩座，長兩肘半，寬一肘半。
7	又用金子造了兩個基路伯，用錘打的方法造在施恩座的兩端。
8	一個基路伯在一端、一個基路伯在另一端，把基路伯做成連於施恩座兩端。
9	兩個基路伯向上展開雙翅，用翅膀遮掩施恩座，它們的臉彼此相對；基路伯的臉朝向施恩座。
 	造桌子
（出25:23~30）
10	他用金合歡木造了一張桌子，長兩肘，寬一肘，高一肘半，
11	包上純金，並且在四圍造金邊。
12	他在桌子四圍造了一個橫撐條框，寬一掌，在橫撐條框四圍造了金邊。
13	又為它造了四個金環，把這些環子安裝在桌子四角，就是四條桌腳所在的位置；
14	環子靠近橫撐條框，用來穿槓子抬這張桌子。
15	他也用金合歡木造了這兩根槓子，包上金，用來抬桌子。
16	又造了桌子上的器物，就是碗、碟、傾倒液體用的杯和瓶，都是純金的。
 	造燈台
（出25:31~40）
17	他造了那個純金的燈台。他用錘打的方法造這個燈台，它的底座和主幹，它的杯、球飾、花朵，都連於燈台。
18	有六根枝子從燈台兩邊伸出來，燈台的三根枝子在一邊，燈台的三根枝子在另一邊。
19	在一邊，每根枝子上有三個杯，形狀像扁桃花，有球飾和花朵；在另一邊，每根枝子上也有三個杯，形狀像扁桃花，有球飾和花朵。從主幹伸出的六根枝子都是這樣。
20	主幹上有四個杯，形狀像扁桃花，有球飾和花朵。
