創世記
第一章
 	神創造天地萬物
31	拉班說：“我該給你甚麼？”雅各說：“你甚麼都不必給我，只要你答應我一件事，我就繼續牧放看守你的羊群。
32	今天我要走遍你的羊群，凡是有斑點的羊、黑色的綿羊、有斑點的山羊，都挑出來，作為我的工錢。
33	日後你來查看我的工錢的時候，會發現我是誠實的。到時候，凡沒有斑點的山羊，或不是黑色的綿羊，都算我偷來的。”
34	拉班說：“好，就照你的話去做。”
35	當天，拉班把有條紋或斑點的公山羊、全部有斑點的母山羊——全部雜有白色的，還有全部黑色的綿羊，都挑出來交在他兒子們的手裡。
36	又使自己和雅各之間相距有三天的路程。雅各就牧養拉班其餘的羊。
 	雅各變得富有
37	雅各拿銀白楊、扁桃樹、懸鈴木的嫩枝，削出一些白色條紋，使枝子露出一些白色。
38	然後把削過皮的枝子插在所有水槽裡，正對著來喝水的羊群。羊群來喝水的時候交配。
39	羊對著枝子交配，就生下有條紋或斑點的小羊來。
40	至於綿羊，雅各分開處理，使這群羊對著拉班的羊群中有條紋的和所有黑色的羊。他為自己另組羊群，不放在拉班的羊群之中。
41	當肥壯的羊要交配的時候，雅各就把那些枝子插在槽子，在羊眼前，使牠們在枝子間交配。
42	但是當瘦弱的羊交配的時候，雅各就不插枝子。這樣，瘦弱的就歸拉班，肥壯的就歸雅各。
43	於是，這個人身家暴漲，極其富有，擁有很多羊、女奴僕、男奴僕、駱駝、驢。
第三十一章
 	雅各逃離拉班
1	雅各聽見拉班的兒子們談論說：“雅各拿走我們父親的所有東西！他弄到手的這一切榮華富貴，本來都是我們父親的！”
2	雅各也注意到拉班的面色，發覺他對自己不像從前了。
3	這時，耶和華對雅各說：“你回你列祖之地、你出生的地方去吧，我會與你同在。”
4	雅各就派人叫拉潔和莉亞到田野他的羊群那裡去，
5	對她們說：“我注意到你們父親的面色，對我不像從前了；但是我父親的神與我同在。
6	我盡全力來為你們父親工作，這是你們知道的；
7	你們的父親卻愚弄我，更改我的工錢十次，但是神不准他傷害我！
8	如果他說‘有斑點的是你的工錢’，全部羊就都生有斑點的羊；如果他說‘有條紋的是你的工錢’，全部羊就都生有條紋的羊。
9	這樣，神就把你們父親的牲畜奪回來給我了。
10	有一次，在羊群交配的時節，我在夢裡舉目觀看，看見爬在母羊身上的公山羊都是有條紋、斑點或花斑的。
11	在夢裡，神的使者對我說：‘雅各！’我說：‘我在這裡聽候。’
12	他說：‘你要舉目觀看，所有爬在母羊身上的公山羊都是有條紋、斑點或花斑的，因為我看見拉班向你所做的一切。
13	我就是在伯特利向你顯現的神，你曾經在那裡膏抹過一塊石碑，又在那裡向我許過願。現在你要起程，離開這片土地，回到你的出生地。’”
14	拉潔和莉亞回答他說：“在我們的父家裡，我們應得的份額和產業，還會歸給我們嗎？
15	我們被他當作外地人了！他賣了我們，竟然還侵吞了我們的錢！
16	神從我們父親奪回來的一切財物，都屬於我們和我們的兒女。現在，神吩咐你的一切，你只管做吧！”
17	於是，雅各起來，讓兒女們和妻子們騎上駱駝，
18	又趕著他所有牲畜，帶著他積蓄的所有財物，就是他在巴旦亞蘭所積蓄賺取的牲畜，要前往他父親以撒那裡，向迦南地走去。
19	當時拉班剪羊毛去了，拉潔就偷了她父親的那些神像。
20	雅各瞞著亞蘭人拉班，沒讓拉班知道他要逃走。
21	雅各就帶著他擁有的一切逃走了。他起程渡過幼發拉底河，向基列山地走去。
22	到了第三天，有人告訴拉班，說雅各逃走了。
23	拉班就帶著他的弟兄們追趕他，追了七天的路程，在基列山地逼近他。
24	當天晚上，神在亞蘭人拉班夢中來到他那裡，對他說：“你要當心，別說甚麼話攻擊雅各。”
25	拉班追上了雅各。當時，雅各已經在山上支搭了帳篷；拉班和他的弟兄們在基列山地支搭帳篷。
26	拉班對雅各說：“你怎麼會做出這樣的事？你瞞著我，把我的女兒們當作戰俘一樣帶走了。
27	你為甚麼暗中逃走，瞞著我不讓我知道，使我不能高高興興地唱歌、擊鼓、彈琴給你送行呢？
28	你也不讓我和外孫、女兒吻別。你這樣做太糊塗了！
29	我有能力傷害你們，但是昨天晚上你們父親的神對我說：‘你要當心，別說甚麼話攻擊雅各。’
30	現在，你渴想父家心切，所以堅決地走了；你卻為甚麼偷我的那些神明？”
31	雅各回答拉班說：“因為我害怕呀，我心想，恐怕你會把你的女兒從我身邊搶走。
32	你在誰身上搜出你的那些神明，誰就不容活著！當著我們弟兄們的面，你辨認一下我這裡有甚麼東西是你的，你儘管拿回去！”原來雅各並不知道拉潔偷了那些神像。
33	拉班走進雅各的帳篷、莉亞的帳篷、兩個女奴的帳篷，都沒有搜出甚麼，於是從莉亞的帳篷出來，走進拉潔的帳篷。
34	拉潔已經把那些神像放在駱駝的鞍下，自己坐在上面。拉班搜遍帳篷，沒有搜出甚麼。
35	拉潔對父親說：“求我主不要發怒，我不能在你面前站起來，因為我正有女人的事。”這樣，拉班搜查了，也搜不到那些神像。
36	雅各就發怒，與拉班爭論。雅各反駁拉班說：“到底我有甚麼過犯，我有甚麼罪惡，使你來勢洶洶追捕我？
37	你已經搜遍我所有的東西，找到甚麼東西是你家的嗎？放在這裡，在你我的弟兄們面前，讓大家在我們兩個之間評評理！
38	這二十年來，我在你那裡，你的母綿羊母山羊沒有掉過胎，你羊群裡的公綿羊我沒有吃過。
39	被野獸撕裂的，我沒有帶回來給你，都是由我自己承受損失；白天被偷的，黑夜被偷的，你總是要我賠償。
40	我白天受盡炎熱，黑夜受盡寒霜，不能入睡。
41	我這二十年在你家裡，為了你兩個女兒在你這裡工作了十四年，為你的羊群工作了六年，你卻十次更改我的工錢。
42	假如不是我父親的神——亞伯拉罕的神，以撒敬畏的神幫助我，現在你必定打發我空手離開！我的苦情、我雙手的辛勞，神看見了，所以昨天晚上責備你。”
 	雅各與拉班立約
43	拉班反駁雅各，說：“這些女兒是我的女兒，這些外孫是我的外孫，這群羊也是我的羊，你眼見的一切都是我的。但是，為了我的這些女兒，為了她們所生的孩子，今天我要怎樣做呢？
44	現在，來，我和你，我們立約吧！我和你之間要有個見證者。”
45	雅各就拿了一塊石頭，豎立起來作碑。
46	雅各又對他的弟兄們說：“收集一些石頭！”他們就拿了一些石頭，堆成一堆。他們在石堆旁邊用餐。
47	拉班用亞蘭文稱這個石堆為見證石堆，雅各也用希伯來文稱之為見證石堆。
48	拉班說：“今天這個石堆是你我之間的見證者。”因此那個石堆名叫見證石堆；
49	它又叫鑒察臺，因為拉班說：“我們看不見彼此的影蹤以後，願耶和華在你我之間鑒察！
50	如果你苦待我的女兒，或在我的女兒以外另娶妻子，雖然沒有人和我們一起，但是你要留心，神就是你我之間的見證者。”
51	拉班又對雅各說：“你看這個石堆，你看這塊石碑！這是我在你我之間豎立的。
52	這個石堆就是見證者，這塊石碑就是見證者：我決不越過這個石堆，到你那裡去害你，你也決不可越過這個石堆和這塊石碑，到我這裡來害我。
53	但願亞伯拉罕的神和拿鶴的神，就是他們父親的兩位神，在我們之間主持公道！”雅各就指著他父親以撒敬畏的神起誓。
54	雅各又在山上宰獻祭牲，請弟兄們來用餐。他們用餐後，就在山上過夜。
55	拉班清早起來，親吻他的外孫和女兒，給他們祝福。然後拉班離開，回自己的地方去了。
第三十二章
 	雅各準備與以掃相見
1	雅各繼續他的行程，神的眾使者來會他。
2	雅各看見他們，就說：“這是神的一支隊伍！”於是給那個地方起名叫瑪哈念。
3	雅各先派一些使者前往西珥地，就是伊東地區，去見哥哥以掃。
4	他吩咐他們說：“你們要說：‘敬告我主以掃：你的僕人雅各這樣說：我在拉班那裡寄居，耽擱到現在，
5	我擁有牛、驢、羊、男女奴僕，現在派人來報告我主，希望在你眼前蒙恩。’”
6	使者回到雅各那裡說：“我們到了你哥哥以掃那裡，他也正在走來見你，而且帶著四百人。”
7	雅各非常害怕，又很困擾，就把隨行的人、羊群、牛群、駱駝分成兩隊，
8	心想：“如果以掃來擊殺這一隊，餘下的另一隊還可以逃脫。”
9	雅各說：“我祖亞伯拉罕的神，我父以撒的神耶和華啊，你對我說過：‘回你的出生地去吧，我必厚待你。’
10	你多次以忠誠之愛和信實對待你的僕人，這一切我實在不配得；從前我只拿著我的手杖過這約旦河，現在我卻成為兩隊了。
11	我害怕我哥哥以掃，求求你救我脫離他的手，不然他會來擊殺我和所有家眷——不管母親兒女都一起擊殺。
12	但是，你親自說過：‘我必定厚待你，使你的後裔像海沙那樣多得不可勝數。’”
13	那天晚上，雅各就在那裡過夜。他從自己擁有的財物中，拿出禮物送給哥哥以掃：
14	母山羊二百隻、公山羊二十隻、母綿羊二百隻、公綿羊二十隻、
15	哺乳的母駱駝三十匹連同每匹的小駱駝、母牛四十頭、公牛十頭、母驢二十頭、公驢十頭。
16	雅各把這些分成一群一群，交在僕人手裡，又對僕人說：“你們先過去，走在我前面，每群之間要保持一段距離。”
17	他又吩咐帶頭的說：“我哥哥以掃見到你，如果問你說：‘你的主人是誰？你要去哪裡？你前面這些牲畜是誰的？’
18	你就說：‘是你僕人雅各的，是送給我主以掃的禮物，他自己也來了，就在我們後面。’”
19	他又吩咐第二個、第三個和所有跟在牲畜群後面的人說：“你們遇見以掃的時候，都要這樣對他說。
20	你們要說：‘你的僕人雅各也來了，就在我們後面。’”因為他心想：“我先送禮物去平息他的怒氣，然後見他的面，說不定他會接納我。”
21	於是禮物先過去，在他前面；那天晚上，他在隊中過夜。
22	他那夜起來，帶著兩個妻子、兩個婢女、十一個孩子，過了雅博的淺灘。
 	雅各與天使扭打
23	雅各帶著他們，讓他們過了淺溪，然後讓他擁有的一切都過去，
24	只剩下雅各孤身一人。有一個人和他扭打，直到天亮。
25	那人見自己制伏不了他，就擊打他的髖關節。於是，雅各的髖關節就在和那人扭打時扭傷了。
26	那人說：“天已經亮了，讓我走吧！”雅各說：“你不給我祝福，我就不讓你走！”
27	那人對他說：“你叫甚麼名字？”他說：“雅各。”
28	那人說：“你的名字不要再叫雅各，而要叫以色列，因為你與神、與人搏鬥，都贏了。”
29	雅各問他說：“請告訴我你的名字。”那人說：“為甚麼問我的名字？”然後他在那裡給雅各祝福。
30	雅各給那個地方起名叫神面鎮，意思是：“我面對面看見了神，我的性命竟然保住了！”
31	他經過神面鎮的時候，太陽剛剛出來，照在他身上。他因為大腿的傷，跛腳行走。
32	因此，以色列人直到現在都不吃髖關節上的筋，因為那人擊打雅各髖關節上的筋。
第三十三章
 	雅各與以掃重逢
1	雅各舉目觀看，看見以掃來了，帶著四百人；他就把孩子們分開，交給莉亞、拉潔和兩個婢女。
2	他叫兩個婢女和她們的孩子走在最前，莉亞和她的孩子跟著，拉潔和約瑟走在最後。
3	他自己卻在他們眾人前面走過去，七次伏地下拜，直到接近他哥哥。
4	以掃跑來迎接他，和他擁抱，伏在他脖子上，親吻他；他們都哭了。
5	以掃舉目，看見婦人和孩子，就說：“這些和你一起的是誰？”雅各說：“這些孩子是神施恩賜給你僕人的。”
6	於是，兩個婢女和她們的孩子上前下拜。
7	莉亞和她的孩子也上前下拜；隨後，約瑟和拉潔也上前下拜。
8	以掃又說：“我剛才遇見這一大隊，你這是甚麼意思呢？”雅各說：“是要在我主眼前蒙恩。”
9	以掃說：“我已經很富足了。弟弟，你的仍舊歸你吧。”
10	雅各說：“請不要這樣！如果我在你眼前蒙恩，就求你從我手裡收下這些禮物吧，因為我看見你的面就好像見了神的面！況且你也接納了我。
11	求你收下我帶來給你的祝福禮物吧，因為神施恩給我，我甚麼都有了。”雅各再三促請，他才收下了。
12	以掃說：“我們動身走吧，我和你一起走。”
13	雅各對他說：“我主知道孩子們年幼嬌嫩，而且牛羊正在哺乳，需要我照顧，要是催促牠們急速地走，過一天羊群全部都會死。
14	請我主在僕人前面先走，我呢，我會按照我面前的牲畜群和孩子們的步調，慢慢往前走，一直走到西珥我主那裡。”
15	以掃說：“那麼，讓我把跟隨我的人留一些在你身邊吧！”雅各說：“這又何必呢？我已經在我主眼前蒙恩了！”
16	於是，以掃在那一天就走自己的路回西珥去了。
17	雅各卻起程前往棚村，在那裡為自己蓋了一座房子，為牲畜搭了一些棚子，因此給那個地方起名叫棚村。
 	雅各來到示劍的城
18	雅各從巴旦亞蘭回來的時候，平安來到示劍的城，這城在迦南地；雅各在城的對面紮營。
19	他搭帳篷的那塊野地，是他用一百可西塔向哈抹的兒子們買來的；哈抹是示劍的父親。
20	雅各在那裡築了一座祭壇，起名叫神——以色列的神。
第三十四章
 	示劍污辱蒂娜
1	莉亞給雅各生的女兒蒂娜出來見當地的女子。
2	希未人哈抹是當地的領袖，他的兒子示劍看見蒂娜，就接她過來，和她睡了，污辱了她。
3	示劍的心迷戀雅各的女兒蒂娜，他愛這個少女，就對這個少女說體貼的話。
4	示劍對父親哈抹說：“為我聘這個女孩子為妻吧！”
5	雅各聽見示劍玷污了他的女兒蒂娜，但是他的兒子們正和牲畜在田野裡，雅各就保持沉默，等他們回來。
 	雅各的兒子們復仇
6	示劍的父親哈抹出來見雅各，要與他商議。
7	雅各的兒子們聽見蒂娜的事，就從田野回來；這些人很悲痛，也非常憤怒，因為示劍在以色列中做了愚妄無恥的事，就是和雅各的女兒睡了，這是絕對不該做的事。
8	哈抹和他們商議說：“我兒子示劍的心依戀你們家的女兒，請你們把她嫁給我的兒子為妻。
9	你們與我們結親吧！你們把女兒嫁給我們，我們的女兒，你們也可以娶。
10	這樣，你們可以與我們住在一起，這片土地就在你們面前，住下來，在這裡自由來往，在這裡購置產業吧！”
11	示劍對蒂娜的父親和兄弟說：“但願我在你們眼前蒙恩，不管你們問我要甚麼，我都給！
12	只管向我多要聘金和禮物吧！我會照你們所說的給你們，只要把這個少女嫁給我為妻。”
13	雅各的兒子們因為示劍玷污了他們的妹妹蒂娜，就用狡詐的話回答示劍和他父親哈抹，
14	對他們說：“把妹妹嫁給一個沒有受割禮的人，對我們來說是恥辱，我們不能做這件事。
15	惟有滿足一個條件，我們才會答應你們，那就是你們的所有男子都受割禮，像我們一樣；
16	我們就會把女兒嫁給你們，也會娶你們的女兒，與你們住在一起，大家成為一族人。
17	但是如果你們不聽從我們受割禮，我們就把我們的女兒帶走。”
18	哈抹認為他們的提議很好，哈抹的兒子示劍也認為很好。
19	這年輕人毫不遲延就去做這件事，因為他喜愛雅各的女兒。他在他整個父家是最受尊敬的。
20	哈抹和兒子示劍來到他們的城門口，對全城的男人說：
21	“這些人跟我們和平相處，不如讓他們在這地居住，自由來往吧。這片土地實在很寬闊，足以容納他們；他們的女兒我們可以娶為妻，我們的女兒可以嫁給他們。
22	惟有滿足一個條件，這些人才會答應和我們住在一起，大家成為一族人；那就是要我們的所有男子都受割禮，像他們受過割禮一樣。
23	這樣，他們的畜群、財產、所有牲口不就歸了我們嗎？只要我們答應他們，他們就會與我們住在一起。”
24	所有出來到城門口的男人，都聽從哈抹和他兒子示劍。於是，所有出來到城門口的男子，都受了割禮。
25	到了第三天，他們正在疼痛的時候，雅各的兩個兒子，就是蒂娜的哥哥西緬和利未，各自拿了刀，進了那座自以為安全的城，殺光所有男子。
26	至於哈抹和他兒子示劍，他們用刀殺了，然後從示劍家裡帶蒂娜離開。
27	雅各的兒子們來到被殺的人那裡，搶掠那座城，因為那些人玷污了他們的妹妹。
28	而那些人的羊群、牛群、驢，以及城裡和田野間的一切，他們都搶去；
29	那些人的所有財物、小孩子、婦女，他們也都擄去，還搶掠房屋裡所有東西。
30	雅各對西緬和利未說：“你們害慘我了，使我在這地的居民之中、在這些迦南人和比利洗人之中有了臭名！我人丁稀少，如果他們聯合起來對付我，攻擊我，我和我家就都要被消滅了！”
31	他們說：“難道他可以把我們的妹妹當作妓女嗎？”
第三十五章
 	雅各回到伯特利
1	神對雅各說：“起來，上伯特利去，住在那裡；在那裡築一座祭壇給神，就是從前你逃避哥哥以掃的時候，向你顯現的神。”
2	雅各就對他的家人和所有跟他一起的人說：“你們要除去你們當中的外族神明，你們要潔淨自己，更換衣服。
3	我們要起程，上伯特利去，我要在那裡給神築一座祭壇，他就是在我患難的日子應允我、在我所走的路上與我同行的那位神。”
4	他們就把手裡的所有外族神明、耳上戴著的環子，都交給雅各，雅各就把這些埋在示劍附近的那棵橡樹底下。
5	然後他們起程，神使恐懼臨到他們周圍的城鎮，沒有人追趕雅各的兒子們。
6	於是，雅各和跟他一起的所有人都到了迦南地的路斯，就是伯特利。
7	他在那裡築了一座祭壇，給那個地方起名叫伯特利之神，因為他逃避他哥哥的時候，神曾經在那裡向他彰顯自己。
8	利百加的乳母蒂波拉死了，葬在伯特利下邊的橡樹底下，因此那棵樹名叫哭橡。
9	雅各從巴旦亞蘭回來以後，神再次向他顯現，賜福給他。
10	神對他說：“你的名字是雅各；你的名字不要再叫雅各，以色列才是你的名字。”這樣，神叫他的名為以色列。
11	神對他說：“我是全能的神，你要繁衍、增多，一國和一個包含多國的群體將從你而生，許多君王從你的身體而出。
12	我賜給亞伯拉罕和以撒的地，我要賜給你，我要把這片土地賜給你未來的後裔。”
13	神在和雅各說話的地方離開他升騰而去。
14	雅各就在神和他說話的地方立碑，是石碑，在碑上澆獻了酒，又澆上油。
15	雅各給神和他說話的地方起名叫伯特利。
 	拉潔之死
16	他們從伯特利起程，離以法他還有一段路的時候，拉潔就要生孩子了，是難產。
17	在她生產最艱難的時候，接生婆對她說：“不要害怕，你又有一個兒子了！”
18	就在拉潔臨死，正要斷氣的時候，她給兒子起名叫便俄尼，他父親卻叫他便雅憫。
19	拉潔死了，葬在通往以法他的路旁；以法他就是伯利恆。
20	雅各在她的墳墓上立碑，這是拉潔的墓碑，到今天還在。
21	以色列起程前行，過了望羊臺，搭起帳篷。
 	以色列的兒子們
（代上2:1~2）
22	以色列在那地居住的時候，呂便去和他父親的妾碧賀睡；以色列聽見了這件事。雅各的兒子共十二個。
23	莉亞的兒子：雅各的長子呂便，以及西緬、利未、猶大、以薩迦、西布倫。
24	拉潔的兒子：約瑟和便雅憫。
25	拉潔的婢女碧賀的兒子：但和拿弗他利。
26	莉亞的婢女慈帕的兒子：迦得和亞設。這些都是雅各的兒子，是他在巴旦亞蘭生的。
27	雅各來到父親以撒那裡，在幔利，在亞巴鎮，就是希伯崙，那是亞伯拉罕和以撒寄居過的地方。
 	以撒逝世
28	以撒的日子共有一百八十年。
29	以撒長壽美滿，然後壽終而死，歸到先人那裡；他兒子以掃和雅各把他安葬了。
第三十六章
 	以掃及其後代
（代上1:34~37）
1	以下是以掃及其後代的事——以掃就是伊東：
2	以掃娶了迦南女子為妻，就是赫特人以倫的女兒阿黛，和亞拿的女兒阿何利巴瑪，即希未人齊比安的孫女；
3	又娶了以實瑪利的女兒芭詩瑪，即尼拜約的妹妹。
4	阿黛給以掃生了以利法；芭詩瑪生了流珥。
5	阿何利巴瑪生了耶烏施、雅蘭、可拉。這些都是以掃的兒子，是在迦南地生的。
6	以掃帶著妻子兒女和家裡所有人，以及他的牲畜、所有牲口、他在迦南地積蓄的一切財產，離開弟弟雅各，到別的地方去了。
7	因為他們都有很多財物，所以不能住在一起；因為牲畜很多，他們寄居的那片土地容納不了他們。
8	於是，以掃住在西珥山地——以掃就是伊東。
9	以下是西珥山地伊東人始祖以掃及其後代的事：
10	這些是以掃子孫的名字：以利法是以掃妻子阿黛的兒子，流珥是以掃妻子芭詩瑪的兒子。
11	以利法的兒子是提幔、阿抹、瑟玻、迦坦、基納斯。
12	亭娜是以掃兒子以利法的妾；她給以利法生了亞瑪力。以上這些都是以掃妻子阿黛的子孫。
13	流珥的兒子是拿哈、謝拉、沙瑪、米撒。這些是以掃妻子芭詩瑪的子孫。
14	以下是齊比安的孫女、亞拿的女兒、以掃的妻子阿何利巴瑪的兒子，她給以掃生了耶烏施、雅蘭、可拉。
15	這些是以掃子孫中的族長：以掃的長子以利法的子孫中，有提幔族長、阿抹族長、瑟玻族長、基納斯族長、
16	可拉族長、迦坦族長、亞瑪力族長。這些是伊東地以利法的族長，是阿黛的子孫。
17	以下是以掃的兒子流珥的子孫：拿哈族長、謝拉族長、沙瑪族長、米撒族長。這些是伊東地流珥的族長，是以掃妻子芭詩瑪的子孫。
18	以掃妻子阿何利巴瑪的子孫中，有耶烏施族長、雅蘭族長、可拉族長。這些是亞拿的女兒、以掃的妻子阿何利巴瑪的族長。
19	以上是以掃的子孫和他們的族長；以掃就是伊東。
 	西珥的子孫
（代上1:38~42）
20	以下是那片土地的原居民，何利人西珥的子孫：羅坍、朔巴、齊比安、亞拿、
21	狄順、以察、狄散。這些是伊東地何利人西珥子孫中的族長。
22	羅坍的兒子是何利和希幔；羅坍的姐妹是亭娜。
23	以下是朔巴的兒子：亞勒文、瑪拿轄、以巴路、示玻、阿南。
24	齊比安的兒子是艾押和亞拿。這個亞拿，就是牧放父親齊比安的驢時在荒野發現溫泉的那人。
25	以下是亞拿的兒女：狄順、亞拿的女兒阿何利巴瑪。
26	以下是狄順的兒子：欣但、伊是班、益蘭、基蘭。
27	以下是以察的兒子：辟罕、撒番、亞伉。
28	以下是狄散的兒子：烏斯和亞朗。
29	這些是何利人的族長：羅坍族長、朔巴族長、齊比安族長、亞拿族長、
30	狄順族長、以察族長、狄散族長。這些是何利人在西珥地的各個族長。
 	伊東諸王
（代上1:43~50）
31	以下是以色列人還沒有君王統治之前，在伊東地執政的王：
32	比珥的兒子比拉在伊東為王，他的城名叫亭哈巴。
33	比拉死後，波斯拉人謝拉的兒子約巴接替他為王。
34	約巴死後，從提幔地來的戶珊接替他為王。
35	戶珊死後，比達的兒子哈達接替他為王；這個哈達曾在摩押地區擊敗米甸人；他的城名叫阿威特。
36	哈達死後，瑪士利加人桑拉接替他為王。
37	桑拉死後，幼發拉底河畔利河伯人掃羅接替他為王。
38	掃羅死後，亞革波的兒子巴力哈南接替他為王。
39	亞革波的兒子巴力哈南死後，哈達接替他為王；他的城名叫巴烏；他的妻子名叫米希特貝，是米薩合的孫女、瑪特列的女兒。
 	伊東的族長們
（代上1:51~54）
40	以下是以掃所出族長的名字，各有多個家族，各有多個地方，他們的名字如下：亭納族長、亞勒瓦族長、耶帖族長、
41	阿何利巴瑪族長、以拉族長、比嫩族長、
42	基納斯族長、提幔族長、米比薩族長、
43	瑪基疊族長、以蘭族長。這些都是伊東人的族長，在他們得到產業的地上各有住處。這以掃就是伊東人的始祖。
第三十七章
 	約瑟的兩個夢
1	雅各住在他父親寄居的地方，就是迦南地。
2	以下是雅各及其後代的事：約瑟十七歲的時候，與哥哥們一起牧羊；他還年輕，與他父親的妻子碧賀和慈帕二人的兒子們常在一起。約瑟向他們的父親報告說他們作惡。
3	以色列愛約瑟過於愛其他兒子，因為約瑟是他年老時生的。他給約瑟做了一件華美的袍子。
4	哥哥們見父親愛他過於愛所有兄弟，就恨約瑟，不能跟他和和氣氣地說話。
5	約瑟做了一個夢，告訴哥哥們，他們就越發恨他。
6	他對他們說：“請聽我做的這個夢：
7	我夢見我們正在田間捆麥子，又夢見我的麥捆起來站直了，還夢見你們的麥捆圍著我的麥捆下拜。”
8	哥哥們對他說：“難道你真的會作我們的王嗎？真的會統治我們嗎？”他們就因為他的夢和他的話，越發恨他。
9	約瑟又做了一個夢，也向哥哥們講述，說：“嘿，我又做了一個夢，夢見太陽、月亮和十一顆星星向我下拜。”
10	約瑟向父親和哥哥們講述，父親就斥責他，說：“你做的這算甚麼夢？我和你的母親、兄弟，難道真的會來俯伏在地向你下拜嗎？”
11	哥哥們嫉妒他，父親卻把這件事記在心裡。
 	約瑟被賣到埃及
12	約瑟的哥哥們到示劍去牧放父親的羊群。
13	以色列對約瑟說：“你的哥哥們現正在示劍牧羊。來，我要派你到他們那裡去。”約瑟對他說：“我在這裡聽候。”
14	他對約瑟說：“去吧！看看你的哥哥們是不是平安，羊群是不是平安，回來告訴我。”於是打發他離開希伯崙谷，他就往示劍去了。
15	有一個人發現他在田野迷了路，這人就問他說：“你找甚麼？”
16	他說：“我在找我的哥哥們，請你告訴我他們在哪裡牧羊！”
17	這人說：“他們已經離開這裡，我聽見他們說：‘我們要到多坍去。’”於是約瑟也隨後去了多坍，在那裡找到他的哥哥們。
18	他們遠遠就看見了約瑟；趁他還沒有靠近，就密謀要殺害他。
19	兄弟們彼此說：“看，這個做夢大師來了！
20	現在，大家來吧，我們殺掉他，把他丟進這裡其中一個儲水池，就說有兇惡的野獸把他吃了。看看他的夢怎麼實現！”
21	呂便聽見了，要救他脫離他們的手，就說：“我們不要取他性命。”
22	呂便又對他們說：“你們不可殺人流血！把他丟進這荒野的這個儲水池吧，你們不可下手害他。”呂便的意思是要救他脫離他們的手，帶他回去給父親。
23	約瑟到了哥哥們那裡，他們就剝去約瑟的袍子，就是他身上那件華美的袍子，
24	然後揪住他，丟進那個儲水池。那個儲水池是空的，裡面沒有水。
25	他們坐下來用餐，舉目觀看，看見有一隊以實瑪利人商隊從基列來，他們的駱駝載著香料、香脂、香樹膠，要帶下埃及去。
26	猶大對兄弟們說：“我們殺害自己的兄弟，掩藏他的血，有甚麼好處呢？
27	我們不如把他賣給這些以實瑪利人，不要下手害他，因為他是我們的兄弟、我們的骨肉。”兄弟們就聽從他。
28	當米甸商人經過的時候，他們就把約瑟從儲水池裡拉上來，以二十塊銀子把約瑟賣給以實瑪利人。他們就把約瑟帶到埃及去了。
29	呂便回到那個儲水池，赫然發現約瑟不在儲水池裡，就撕裂自己的衣服。
30	他回到兄弟們那裡去，說：“孩子不在了！我，我可怎麼辦？”
31	他們拿了約瑟的袍子，宰了一隻公山羊，把袍子蘸在血裡，
32	然後打發人把那件華美的袍子送到父親那裡，說：“這是我們找到的。請你辨認一下，是不是你兒子的袍子？”
33	他認出沒錯，就說：“是我兒子的袍子！有兇惡的野獸吃了他！約瑟肯定被撕裂了！”
34	雅各就撕裂自己的衣服，在腰間圍上粗毛布，為兒子哀悼了很多天。
35	所有兒女都起來安慰他，他卻不肯受安慰，說：“我要哀悼著下陰間，到我兒子那裡去。”約瑟的父親就為他哀哭。
36	米甸人把約瑟賣到埃及去，賣給法老的一個官員，護衛長波提乏。
第三十八章
 	猶大和塔瑪
1	那時，猶大離開兄弟們往下走，轉到一個亞杜蘭人那裡，那人名叫希拉。
2	猶大在那裡看見迦南人拔書雅的女兒，就娶了她，和她交合。
3	她就懷了孕，生了一個兒子，猶大給他起名叫珥。
4	她又懷孕，生了一個兒子，她給兒子起名叫俄南。
5	她再懷孕，又生了一個兒子，她給兒子起名叫示拉。她生示拉的時候，猶大在革悉。
6	猶大為長子珥娶妻，名叫塔瑪。
7	猶大的長子珥在耶和華眼中是個惡人，所以耶和華把他處死。
8	於是，猶大對俄南說：“你要和你哥哥的妻子交合，對她盡死者兄弟的本分，為你哥哥傳宗接代。”
9	俄南知道孩子不會歸自己，所以每次和哥哥的妻子交合的時候都遺精在地上，不給哥哥傳宗接代。
10	在耶和華眼中，俄南所做的是件惡事，所以耶和華也把他處死。
11	猶大就對兒媳婦塔瑪說：“你回到你的父家去守寡吧，等我的兒子示拉長大。”因為他心裡想：“恐怕示拉也會像兩個哥哥一樣死去。”塔瑪就回去，住在父家。
12	過了很多日子，猶大的妻子，書亞的女兒死了。哀悼的時間過了以後，猶大就到為他剪羊毛的人那裡去，和朋友亞杜蘭人希拉一起上亭拿。
13	有人告訴塔瑪說：“你知道嗎？你的公公現在上亭拿去剪羊毛。”
14	塔瑪見示拉已經長大了，自己還沒有被許配給他為妻，就脫去寡婦的衣服，用面紗蒙臉，打扮自己，坐在伊納音村的入口處，通往亭拿的路上。
15	猶大看見她，以為是個妓女，因為她蒙著臉。
16	猶大就轉到路邊她那裡去，說：“來吧，讓我和你交合！”他不知道她就是自己的兒媳婦。塔瑪說：“你要和我交合，給我甚麼呢？”
17	猶大說：“我會從羊群裡拿一隻小山羊送來。”塔瑪說：“除非你留個信物，到你送羊來的時候再還給你。”
