列王紀下
第一章
 	先知預言亞哈謝必死
20	他在那些祭壇上宰殺所有丘壇的祭司，也在祭壇上焚燒人的骸骨，然後回耶路撒冷去。
 	約西亞下令守逾越節
（代下35:1~19）
21	王命令全體人民，說：“你們要照這約書上所寫的向耶和華你們的神守逾越節。”
22	自從士師治理以色列以及以色列諸王和猶大列王的時代以來，從來沒有守過像這次一樣的逾越節。
23	只有在約西亞王在位第十八年，才在耶路撒冷向耶和華守了這樣的逾越節。
 	約西亞其他改革
24	此外，在猶大地和耶路撒冷所有召鬼師、招魂師、家神，以及那些臭偶像和一切可憎之物，約西亞都除去，為要實踐希基雅祭司在耶和華殿裡所發現的書卷上所寫律法的話。
25	在他以前，沒有王像他那樣按著摩西一切律法，全心、全意、全力歸向耶和華；在他以後，也沒有興起過一個像他的王。
26	然而，耶和華就沒有撤回他對猶大所發猛烈的熊熊怒火，因為瑪拿西的種種惡行不斷激怒耶和華。
27	耶和華說：“我怎樣把以色列除掉，也要照樣把猶大從我面前除掉。我要棄絕我所揀選的耶路撒冷以及聖殿，儘管我曾說我的名要立在那裡。”
 	約西亞陣亡
（代下35:20~36:1）
28	約西亞其餘的事情，他一切的作為，都已經寫在《猶大列王編年史》上。
29	約西亞在位期間，埃及王法老尼哥上到幼發拉底河支援亞述王，約西亞王去迎擊他。法老在米吉多看見約西亞，就把他殺死。
30	約西亞的臣僕用馬車運載他的遺體，從米吉多送到耶路撒冷，把他安葬在他自己的墳墓裡。國民擁立約西亞的兒子約哈斯，膏立他接替父親為王。
 	約哈斯登基為猶大王
（代下36:2~4）
31	約哈斯登基的時候年二十三歲，在耶路撒冷為王三個月。他的母親名叫哈慕蒂，是立拿人葉利米的女兒。
32	他做耶和華視為惡的事，仿效他列祖所做的一切。
33	法老尼哥把他囚禁在哈馬地的利比拉，使他不能在耶路撒冷為王，又向猶大國索取賠款一百他連得銀子和一他連得金子。
 	約雅敬登基為猶大王
（代下36:5~8）
34	法老尼哥立約西亞的兒子以利雅敬接替他父親約西亞為王，把他改名為約雅敬。至於約哈斯，法老尼哥把他抓起來，帶到埃及去，他就死在那裡。
35	約雅敬把銀子、金子進貢給法老；為了滿足法老的要求，他向全國徵收稅銀，按著他的評估，向每位國民索取金銀，好進貢給法老尼哥。
36	約雅敬登基的時候年二十五歲，在耶路撒冷為王十一年。他的母親名叫西布妲，是魯瑪人琵大雅的女兒。
37	他做耶和華視為惡的事，仿效他列祖所做的一切。
第二十四章
 	約雅敬背叛巴比倫王
1	約雅敬在位期間，巴比倫王尼布甲尼撒上來攻打他，約雅敬就臣服於他三年，後來卻反悔，背叛他。
2	耶和華派迦勒底的突擊隊、亞蘭的突擊隊、摩押的突擊隊和亞捫人的突擊隊攻擊他；耶和華派他們來攻擊猶大，是要毀滅它，照耶和華藉著他的僕人眾先知所說的話那樣。
3	這災禍臨到猶大，是出於耶和華的命令。耶和華要把他們從自己面前除掉，是因為瑪拿西所犯的一切罪惡，
4	又因為瑪拿西殺害無辜的人，使他們的血流滿耶路撒冷；耶和華決不赦免。
5	約雅敬其餘的事情，他一切的作為，都已經寫在《猶大列王編年史》上。
6	約雅敬與列祖同眠，他的兒子約雅斤接替他為王。
7	埃及王不再從自己的國家出征，因為巴比倫王奪得埃及王從埃及溪谷直到幼發拉底河的所有領土。
 	約雅斤登基為猶大王
（代下36:9）
8	約雅斤登基的時候年十八歲，在耶路撒冷為王三個月；他的母親名叫尼護詩妲，是耶路撒冷人以利拿單的女兒。
9	他做耶和華視為惡的事，仿效他父親所做的一切。
 	巴比倫王上來圍攻耶路撒冷
10	那時，巴比倫王尼布甲尼撒的臣僕們上來攻打耶路撒冷，城被圍困。
11	臣僕們正在圍城的時候，巴比倫王尼布甲尼撒親自來到耶路撒冷。
12	猶大王約雅斤和他的母親及各臣僕、長官和內臣出城投降巴比倫王。巴比倫王就捉住約雅斤。那時是巴比倫王在位第八年。
 	約雅斤與臣民被擄到巴比倫
（代下36:10）
13	巴比倫王照耶和華所說的那樣，從耶路撒冷帶走耶和華殿所有的寶物和王宮的寶物，搗毀以色列王所羅門所造的耶和華殿裡所有的金器。
14	他又擄走全耶路撒冷的人，包括所有領袖、所有一萬名強大的勇士，以及所有工匠、鐵匠，只剩下國民中最貧窮的人，沒有別的。
15	他把約雅斤擄到巴比倫去；王太后、后妃、內臣和國中的要員，他都從耶路撒冷擄到巴比倫。
16	還有七千名戰士，一千名工匠和鐵匠，全都是能作戰的勇士，巴比倫王把他們都擄到巴比倫去。
 	巴比倫王立西底家為猶大王
（代下36:10~16；耶52:1~3）
17	巴比倫王立約雅斤的叔叔瑪塔尼雅接替他為王，把瑪塔尼雅的名字改為西底家。
18	西底家登基的時候年二十一歲，在耶路撒冷為王十一年；他母親名叫哈慕蒂，是立拿人葉利米的女兒。
19	他做耶和華視為惡的事，仿效約雅敬所做的一切。
20	因此耶和華的怒氣向耶路撒冷和猶大發作，甚至把他們從自己的面前丟棄。後來，西底家背叛巴比倫王。
 	聖城淪陷，人民被擄
（代下36:17~21；耶52:4~16）
第二十五章
1	西底家為王第九年十月十日，巴比倫王尼布甲尼撒率領全軍來攻打耶路撒冷。他們在城外安營，又在周邊築壘攻城。
2	城被圍困，直到西底家王在位第十一年。
3	四月九日，城裡饑荒非常嚴重，甚至當地的人民都斷了糧。
4	城被攻破，所有的戰士就在夜間逃出城外。他們取道御園附近兩城牆中間的那道門，往亞拉巴的方向逃走。當時迦勒底人正在周邊攻城。
5	迦勒底人的軍隊追趕西底家王，在耶利哥的平原追上他。他的全軍都已離開他，四散逃逸。
6	他們抓住王，把他押解到利比拉，到巴比倫王那裡；他們就宣告對西底家的判決。
7	西底家的兒子們，他們在他眼前殺了；西底家的眼睛，他們弄瞎了。他們用銅鏈鎖住他，把他帶到巴比倫。
8	巴比倫王尼布甲尼撒在位第十九年五月七日，巴比倫王的大臣，尼布撒拉旦護衛長來到耶路撒冷。
9	他焚燒耶和華的殿和王宮；耶路撒冷所有的房屋，包括所有貴族的房屋，他都放火燒了。
10	耶路撒冷周邊所有的城牆，護衛長屬下的迦勒底全軍都拆毀了。
11	至於城中剩下的那些已向巴比倫王投降的人民，以及其餘的群眾，尼布撒拉旦護衛長都擄走了。
12	而當地一些最貧窮的人，護衛長把他們留下，作修理葡萄園和耕種田地的人。
 	聖殿被劫掠
（耶52:17~27）
13	耶和華殿的銅柱，以及耶和華殿裡的銅盆座和銅海，迦勒底人都打碎了；他們把銅塊運到巴比倫去。
14	盆、灰鏟、燈剪、碟子和敬拜用的所有銅器，他們都拿走了。
15	還有，火鏟和潑血碗，無論是金的還是銀的，護衛長都拿走了。
16	所羅門為耶和華殿所做的兩根銅柱、一個銅海和十個銅座，這一切器物的銅，重得無法稱量。
17	至於那些銅柱，每根高十八肘，柱上有銅柱頭；柱頭高三肘，柱頭四周有網子和石榴，都是銅的；另一根柱子同樣也有網子。
18	護衛長抓住西萊雅祭司長、西番亞副祭司長和三個門衛，
19	又從城裡帶走一個管理士兵的軍官，並且在城裡搜捕五個常見王面的人，和一個負責招募當地人民的將軍書記，又在城中搜捕六十個當地的人民。
20	尼布撒拉旦護衛長抓住他們，帶到利比拉，到巴比倫王那裡。
21	巴比倫王就擊殺他們，在哈馬地的利比拉把他們處死。這樣，猶大人被擄，離開了他們的國土。
 	巴比倫王立基大利為省長
（耶40:7~9）
22	至於在猶大地剩下來的人民，就是巴比倫王尼布甲尼撒留下來的人民，巴比倫王委派沙番的孫子，亞希甘的兒子基大利管理他們。
23	所有將領和他們的士兵聽見巴比倫王委派了基大利，就來到米斯巴見基大利，其中有尼塔尼雅的兒子以實瑪利、加利亞的兒子約哈楠、尼陀法人單戶默的兒子西萊雅、瑪迦人的兒子雅撒尼亞，以及他們的部下。
24	基大利向他們和他們的部下起誓保證說：“你們不要害怕迦勒底的官員，只管住在此地，服侍巴比倫王，就可以平安無事。”
 	基大利被殺
（耶41:1~3）
25	以利沙麻的孫子，尼塔尼雅的兒子以實瑪利是王室成員。在七月的時候，他帶領十個人來擊殺基大利，以及基大利屬下在米斯巴的猶大人和迦勒底人。
26	因此，全體人民無論大小，以及將領們都起來逃往埃及，因為他們害怕迦勒底人。
 	巴比倫王善待約雅斤
（耶52:31~34）
27	猶大王約雅斤被擄後第三十七年十二月二十七日，那一年登基的巴比倫王以未米羅達恩待猶大王約雅斤，把他從獄中領出來，
28	並且友善地和他說話，使他的地位高過與他一同在巴比倫的眾王的地位；
29	又換下他的囚衣，准他終生常與王共餐。
30	他餘生的年歲，一直都有分配給他的食物，由巴比倫王供應他每天的份額。
